id,title,domains,skills
23,Automated Tutoring Chatbot,Education|Natural Language Processing|Web Development,Chatbot Development|NLP|User Interaction Design|Knowledge Base Creation|AI/ML
24,Language Translation and Learning Platform,Education|Natural Language Processing|Web Development,NLP|Machine Translation|Web Development|User Accounts and Progress Tracking|Multilingual Support
25,Personal Finance Management Mobile App,Finance|Mobile App Development|Natural Language Processing,Mobile App Development (iOS/Android)|Natural Language Processing for Expense Categorization|Budgeting Algorithms
26,Stock Market Sentiment Analysis Dashboard,Finance|Natural Language Processing|Web Development,Data Scraping|Natural Language Processing for Sentiment Analysis|Data Visualization (Web-based)
27,E-commerce Price Comparison Mobile App,E-commerce|Mobile App Development|Natural Language Processing,Mobile App Development (iOS/Android)|Web Scraping|Natural Language Processing for Product Description Analysis
28,Payment Fraud Detection System,Finance|Natural Language Processing|Web Development,Web Development|Machine Learning for Fraud Detection|Data Analysis|API Integration
29,Automated Financial News Aggregator,Finance|Natural Language Processing|Web Development,Web Scraping|Natural Language Processing for News Summarization|Frontend Development (Web-based)
30,Sentiment Analysis for Social Media,Natural Language Processing,Natural Language Processing|Machine Learning|Python|Text Classification|Data Collection and Cleaning
31,All-in-One Financial Management App,E-commerce|Finance|Natural Language Processing|Web Development|Mobile App Development,JavaScript|React|Node.js|Python|NLP|Mobile App Development|Financial Analysis
32,E-commerce Marketplace Platform,E-commerce|Web Development|Mobile App Development,PHP|React|Swift|Payment Gateway Integration|UX/UI Design
33,Finance Analytics Dashboard,Finance|Web Development,Python|Django|Data Visualization|Financial Modeling|SQL
34,Natural Language Processing Chatbot,Natural Language Processing|Web Development|Mobile App Development,Python|NLP|Chatbot Development|React Native|API Integration
35,E-commerce Recommendation Engine,E-commerce|Natural Language Processing|Web Development,Java|Spring Boot|NLP|Recommendation Systems|Frontend Development
36,Mobile Banking App,Finance|Mobile App Development,Swift|Android|Mobile Banking|Financial Transactions
37,Web-based Stock Portfolio Tracker,Finance|Web Development,JavaScript|React|Stock Market Data|Database Management
38,NLP Sentiment Analysis Tool,Natural Language Processing|Web Development,Python|NLP|React|Sentiment Analysis|Data Visualization
39,E-commerce Inventory Management System,E-commerce|Web Development,PHP|JavaScript|Inventory Management|Database Design
40,Finance News Aggregator App,Finance|Mobile App Development|Natural Language Processing,Python|React Native|NLP|API Integration|News Aggregation
41,Mobile Wallet and Payment App,Finance|Mobile App Development|Web Development,React Native|Node.js|Payment Processing|UI/UX Design
42,E-commerce Product Review Analyzer,E-commerce|Natural Language Processing|Web Development,Python|Django|NLP|Sentiment Analysis|Web Scraping
43,Stock Market Prediction Model,Finance|Natural Language Processing,Python|Machine Learning|Time Series Analysis|NLP|Data Visualization
44,Web-based Language Learning Platform,Web Development|Natural Language Processing,JavaScript|React|NLP|Language Learning Tools|User Engagement
45,Mobile App for Personal Finance Management,Finance|Mobile App Development|Web Development,Swift|React|Node.js|Financial Tracking|Budgeting
46,Travel Booking Website,Travel|Web Development,HTML|CSS|JavaScript|Node.js|Travel APIs|UI/UX Design
47,Financial Portfolio Tracker,Finance|Web Development,Python|Django|Financial Data Integration|Data Visualization
48,Travel Expense Management App,Travel|Finance|Mobile App Development,React Native|Node.js|Expense Tracking|Budgeting|Payment Integration
49,Interactive Educational App for Kids,Education|Mobile App Development,React Native|UI/UX Design|Educational Content|Game Development
50,E-Learning Platform for College Students,Education|Web Development|Mobile App Development,JavaScript|React|Node.js|Mobile App Development|Course Content Management
51,Mobile App for Language Learning,Education|Mobile App Development|Natural Language Processing,React Native|NLP|Language Learning|Quiz Generation
52,Educational Game for Math Practice,Education|Mobile App Development,Unity3D|C#|Game Design|Educational Content
